OG7_0000583	apis|A0A8R2JQ71
OG7_0001309	apis|C4WSW3
OG7_0007857	apis|A0A8R1W1E7
OG7_0002247	apis|A0A8R2JVS3
OG7_0005490	apis|C4WUE9
OG7_0001142	apis|A0A8R2F878
OG7_0004188	ahos|F4B842
OG7_0000794	apis|A0A8R2B7N7
OG7_0003631	apis|A0A8R2AC84
OG7_0002030	apis|A0A8R2D562
OG7_0001644	apis|A0A8R2H7N7
OG7_0000798	apis|A0A8R2BAK6
OG7_0004184	ahos|F4B9R4
OG7_0006177	apis|A0A8R2BAM2
OG7_0001648	apis|C4WUA6
OG7_0004682	ahos|F4B6X3
OG7_0006148	apis|A0A8R2B403
OG7_0001677	apis|A0A8R2A516
OG7_0003479	apis|A0A8R2NP14
OG7_0002713	apis|A0A8R2NRF8
OG7_0005775	apis|A0A8R2JKR7
OG7_0002274	apis|A0A8R2B9X9
OG7_0003746	apis|A0A8R2JN05
OG7_0003155	apis|C4WSU3
OG7_0006144	apis|A0A8R2HCB8
OG7_0006017	apis|A0A8R2A8H5
OG7_0003789	apis|A0A8R2JVS4
OG7_0006642	apis|A0A8R2BAZ0
OG7_0002278	apis|A0A8R1TDD4
OG7_0005485	apis|A0A8R1W3H3
OG7_0004761	ahos|F4B5P7
OG7_0007098	apis|A0A8R1TC66
OG7_0008218	apis|A0A8R2A5N3
OG7_0008483	apis|A0A8R1W9T3
OG7_0001050	ahos|F4B8X9
OG7_0007094	apis|A0A8R2JUW5
OG7_0007940	apis|A0A8R1W1S0
OG7_0008130	apis|A0A8R2D3B8
OG7_0008214	apis|A0A8R2A328
OG7_0003282	apis|A0A8R1W106
OG7_0007248	apis|A0A8R1W6P6
OG7_0001582	apis|A0A8R1W3X6
OG7_0004548	ahos|F4B6S8
OG7_0007465	apis|A0A8R2AAQ5
OG7_0001125	apis|A0A8R1W559
OG7_0004231	ahos|F4B807
OG7_0007244	apis|C4WU64
OG7_0008197	apis|A0A8R1X1T3
OG7_0007531	apis|B7TYC2
OG7_0006832	apis|J9LY60
OG7_0004544	ahos|F4B3N3
OG7_0004909	ahos|F4B7T6
OG7_0002970	apis|A0A8R2A2U5
OG7_0003020	apis|C4WUW2
OG7_0002621	apis|A0A8R2A1Z5
OG7_0000143	apis|A0A8R2NTE7
OG7_0002854	apis|A0A8R1W3G8
OG7_0002858	apis|A0A8R1WAD8
OG7_0006869	apis|A0A8R2D5E7
OG7_0000926	apis|A0A8R2ADI3
OG7_0002097	apis|A0A8R2B3Q7
OG7_0004866	ahos|F4B8S1
OG7_0005437	apis|A0A8R2A2J5
