ccin-old|CC1G_00359	OG0000009
ccin-old|CC1G_00636	OG0000001
ccin-old|CC1G_01220	OG0000013
ccin-old|CC1G_03020	OG0000011
ccin-old|CC1G_03436	OG0000008
ccin-old|CC1G_03750	OG0000007
ccin-old|CC1G_04494	OG0000004
ccin-old|CC1G_06163	OG0000006
ccin-old|CC1G_06541	OG0000014
ccin-old|CC1G_06607	OG0000005
ccin-old|CC1G_07714	OG0000015
ccin-old|CC1G_09593	OG0000002
ccin-old|CC1G_11802	OG0000010
ccin-old|CC1G_12316	OG0000003
