Orthogroup	ccin-old.fasta	lafr.fasta	test.fasta
OG0000000	ccin-old|CC1G_04709, ccin-old|CC1G_04741, ccin-old|CC1G_06911		
OG0000001	ccin-old|CC1G_00636, ccin-old|CC1G_14797		
OG0000002	ccin-old|CC1G_09593, ccin-old|CC1G_15139		
OG0000003	ccin-old|CC1G_09472, ccin-old|CC1G_12316		
